Model,Scene,LPIPS,Masked LPIPS,Masked PSNR,Masked SSIM,PSNR,SSIM
radfoam,flowers,0.3702847361564636,0.3847537040710449,18.994375228881836,0.5206429958343506,21.379777908325195,0.5719420909881592
radfoam,garden,0.1675262600183487,0.17252324521541595,24.148595809936523,0.7921350598335266,26.557952880859375,0.8102303147315979
radfoam,kitchen,0.1492169052362442,0.11795017868280411,28.46663475036621,0.9074828028678894,31.318775177001953,0.9067034125328064
radfoam,room,0.2244671732187271,0.20876957476139069,24.641586303710938,0.8179234266281128,30.56431770324707,0.8963006138801575
radfoam,stump,0.2918941378593445,0.2847517728805542,22.96468734741211,0.6948748826980591,25.40096664428711,0.7100713849067688
radfoam,treehill,0.3980720341205597,0.43333882093429565,19.13488006591797,0.49697721004486084,22.044883728027344,0.5935420989990234
radfoam,mp360 average,0.26145242982440525,0.24581718527608448,23.181920793321396,0.7329081098238627,26.91135130988227,0.7739023963610331
triangle_splatting2,Barn,0.27856799960136414,0.2925909459590912,20.046600341796875,0.698515772819519,25.904287338256836,0.8163057565689087
triangle_splatting2,Caterpillar,0.3824763596057892,0.4401893615722656,18.041929244995117,0.5351908802986145,20.50898551940918,0.6828311085700989
triangle_splatting2,Courthouse,0.33264821767807007,0.4210208058357239,16.626434326171875,0.51849365234375,20.089876174926758,0.748203456401825
triangle_splatting2,Ignatius,0.3688265085220337,0.3961819112300873,16.74546241760254,0.5562092661857605,19.371652603149414,0.6741818189620972
triangle_splatting2,Meetingroom,0.29801854491233826,0.28556427359580994,16.79584312438965,0.6623411774635315,22.873886108398438,0.8286563158035278
triangle_splatting2,Truck,0.2710776925086975,0.2664651572704315,17.954124450683594,0.6810189485549927,22.849258422851562,0.8102485537528992
triangle_splatting2,tnt average,0.3219358871380488,0.35033540924390155,17.70173231760661,0.6086282829443613,21.93299102783203,0.7600711683432261
triangle_splatting2,bicycle,0.35056620836257935,0.3517273962497711,20.654691696166992,0.6024155616760254,23.269990921020508,0.6479559540748596
triangle_splatting2,bonsai,0.25661030411720276,0.18937864899635315,24.654537200927734,0.8657447099685669,29.05521583557129,0.8959231972694397
triangle_splatting2,counter,0.23237036168575287,0.19591854512691498,20.184123992919922,0.7880205512046814,26.7314395904541,0.8738072514533997
triangle_splatting2,flowers,0.38989704847335815,0.41521862149238586,17.53941535949707,0.460822194814682,19.72036361694336,0.5239582657814026
triangle_splatting2,garden,0.225471630692482,0.2367839366197586,22.867883682250977,0.7523796558380127,25.1151065826416,0.7790848612785339
triangle_splatting2,kitchen,0.1751319020986557,0.13915769755840302,27.028554916381836,0.8965336084365845,28.004486083984375,0.8933998942375183
triangle_splatting2,room,0.2640874683856964,0.2418307512998581,23.11736297607422,0.7894477844238281,28.408565521240234,0.8774674534797668
triangle_splatting2,stump,0.3237404227256775,0.3116280436515808,22.31052589416504,0.6676397919654846,24.77086639404297,0.6881140470504761
triangle_splatting2,treehill,0.4170275032520294,0.4543141722679138,18.17334747314453,0.4529058039188385,21.027658462524414,0.5559841990470886
triangle_splatting2,mp360 average,0.2927669833103816,0.28177309036254883,21.836715910169815,0.6973232958051894,25.12263255649143,0.7484105692969428
