Model,Dataset,Scene,Metric,Standard Value,Masked Value,Difference
beta_splatting,mp360,stump,LPIPS,0.182778462767601,0.1353738158941269,-0.04740464687347412
beta_splatting,mp360,treehill,LPIPS,0.3213532865047455,0.3623653948307037,0.041012108325958196
beta_splatting,tnt,Truck,LPIPS,0.1632994413375854,0.1383055299520492,-0.024993911385536194
QGS,tnt,Barn,LPIPS,0.2206880003213882,0.232670173048973,0.011982172727584811
QGS,mp360,bicycle,LPIPS,0.3855045437812805,0.3816062808036804,-0.0038982629776000977
QGS,mp360,bonsai,LPIPS,0.197892963886261,0.1355118155479431,-0.0623811483383179
QGS,tnt,Caterpillar,LPIPS,0.2783365249633789,0.3316039443016052,0.05326741933822632
QGS,mp360,counter,LPIPS,0.2286114990711212,0.1750034689903259,-0.05360803008079529
QGS,tnt,Courthouse,LPIPS,0.3174209594726562,0.4435460865497589,0.12612512707710272
QGS,mp360,flowers,LPIPS,0.5149545669555664,0.5991094708442688,0.08415490388870239
QGS,mp360,garden,LPIPS,0.2941835820674896,0.2947898805141449,0.0006062984466552734
QGS,tnt,Ignatius,LPIPS,0.196003258228302,0.202771708369255,0.0067684501409530085
QGS,mp360,kitchen,LPIPS,0.1585233658552169,0.1282996833324432,-0.030223682522773687
QGS,tnt,Meetingroom,LPIPS,0.2578835487365722,0.3053052723407745,0.04742172360420227
QGS,mp360,room,LPIPS,0.2232197970151901,0.2181726396083831,-0.005047157406807001
QGS,mp360,stump,LPIPS,0.3680680394172668,0.3337883055210113,-0.03427973389625549
QGS,mp360,treehill,LPIPS,0.4989606440067291,0.5487474799156189,0.04978683590888977
QGS,tnt,Truck,LPIPS,0.2047070264816284,0.239115759730339,0.034408733248710605
3dcs,tnt,Barn,LPIPS,0.1637639105319976,0.1399534344673156,-0.023810476064682007
3dcs,mp360,bicycle,LPIPS,0.2175145000219345,0.2355610430240631,0.0180465430021286
3dcs,mp360,bonsai,LPIPS,0.1795471459627151,0.085273303091526,-0.09427384287118909
3dcs,tnt,Caterpillar,LPIPS,0.2389012426137924,0.2995494306087494,0.060648187994957
3dcs,mp360,counter,LPIPS,0.1809068173170089,0.1412138044834137,-0.03969301283359519
3dcs,tnt,Courthouse,LPIPS,0.2407435476779937,0.3322848975658417,0.09154134988784798
3dcs,mp360,flowers,LPIPS,0.3222117125988006,0.3707282245159149,0.04851651191711431
3dcs,mp360,garden,LPIPS,0.1129670962691307,0.1271424144506454,0.014175318181514684
3dcs,tnt,Ignatius,LPIPS,0.199108675122261,0.2050719708204269,0.005963295698165921
3dcs,mp360,kitchen,LPIPS,0.1164240017533302,0.0975644364953041,-0.01885956525802611
3dcs,tnt,Meetingroom,LPIPS,0.20709790289402,0.1829772889614105,-0.024120613932609503
3dcs,mp360,room,LPIPS,0.1916327625513076,0.1618429273366928,-0.029789835214614785
3dcs,mp360,stump,LPIPS,0.2283456921577453,0.2261891365051269,-0.002156555652618408
3dcs,mp360,treehill,LPIPS,0.3176354765892029,0.3402702808380127,0.022634804248809814
3dcs,tnt,Truck,LPIPS,0.1681105345487594,0.1626096218824386,-0.005500912666320801
radfoam,tnt,Barn,LPIPS,0.2722938060760498,0.3176922500133514,0.04539844393730158
radfoam,mp360,bicycle,LPIPS,0.3299326300621032,0.3143730461597442,-0.015559583902359009
radfoam,mp360,bonsai,LPIPS,0.2022146880626678,0.1018620282411575,-0.10035265982151029
radfoam,tnt,Caterpillar,LPIPS,0.3457935750484466,0.4062871634960174,0.0604935884475708
radfoam,mp360,counter,LPIPS,0.2194633036851883,0.1617181897163391,-0.05774511396884918
radfoam,tnt,Courthouse,LPIPS,0.302619069814682,0.3864952027797699,0.08387613296508789
radfoam,mp360,flowers,LPIPS,0.3702847361564636,0.3861780166625976,0.015893280506133978
radfoam,mp360,garden,LPIPS,0.1675262600183487,0.1768410950899124,0.009314835071563693
radfoam,tnt,Ignatius,LPIPS,0.3398894965648651,0.366879940032959,0.026990443468093872
radfoam,mp360,kitchen,LPIPS,0.1492169052362442,0.1162142381072044,-0.033002667129039806
radfoam,tnt,Meetingroom,LPIPS,0.2692367136478424,0.2682915031909942,-0.0009452104568482
radfoam,mp360,room,LPIPS,0.2244671732187271,0.2039736062288284,-0.02049356698989871
radfoam,mp360,stump,LPIPS,0.2918941378593445,0.2792504429817199,-0.012643694877624567
radfoam,mp360,treehill,LPIPS,0.3980720341205597,0.4213577806949615,0.0232857465744018
radfoam,tnt,Truck,LPIPS,0.2772735059261322,0.3060455322265625,0.028772026300430298
triangle_splatting2,tnt,Barn,LPIPS,0.2785679996013641,0.2813214063644409,0.0027534067630768377
triangle_splatting2,mp360,bicycle,LPIPS,0.3505662083625793,0.3439440131187439,-0.006622195243835394
triangle_splatting2,mp360,bonsai,LPIPS,0.2566103041172027,0.1774866431951522,-0.0791236609220505
triangle_splatting2,tnt,Caterpillar,LPIPS,0.3824763596057892,0.4605956375598907,0.07811927795410151
triangle_splatting2,mp360,counter,LPIPS,0.2323703616857528,0.1809794604778289,-0.05139090120792392
