Model,Dataset,Scene,Metric,Standard Value,Masked Value,Difference
radfoam,tnt,Caterpillar,SSIM,0.7112069725990295,0.5698825120925903,0.1413244605064392
radfoam,mp360,counter,SSIM,0.8750388622283936,0.8070573210716248,0.0679815411567688
radfoam,tnt,Courthouse,SSIM,0.7826491594314575,0.5891097187995911,0.19353944063186646
radfoam,mp360,flowers,SSIM,0.5719420909881592,0.5206430554389954,0.05129903554916382
radfoam,mp360,garden,SSIM,0.8102303147315979,0.7921350598335266,0.01809525489807129
radfoam,tnt,Ignatius,SSIM,0.6950189471244812,0.5777124166488647,0.11730653047561646
radfoam,mp360,kitchen,SSIM,0.9067034125328064,0.9074828624725342,-0.0007794499397277832
radfoam,tnt,Meetingroom,SSIM,0.8272424936294556,0.7027861475944519,0.12445634603500366
radfoam,mp360,room,SSIM,0.8963006138801575,0.8179234266281128,0.07837718725204468
radfoam,mp360,stump,SSIM,0.7100713849067688,0.6948749423027039,0.015196442604064941
radfoam,mp360,treehill,SSIM,0.5935420989990234,0.4969772696495056,0.09656482934951782
radfoam,tnt,Truck,SSIM,0.8133133053779602,0.673946738243103,0.13936656713485718
triangle_splatting2,tnt,Barn,SSIM,0.8163057565689087,0.698515772819519,0.11778998374938965
triangle_splatting2,mp360,bicycle,SSIM,0.6479559540748596,0.6024156212806702,0.04554033279418945
triangle_splatting2,mp360,bonsai,SSIM,0.8959231972694397,0.8657447099685669,0.030178487300872803
triangle_splatting2,tnt,Caterpillar,SSIM,0.6828311085700989,0.5351909399032593,0.1476401686668396
triangle_splatting2,mp360,counter,SSIM,0.8738072514533997,0.7880207300186157,0.08578652143478394
triangle_splatting2,tnt,Courthouse,SSIM,0.748203456401825,0.51849365234375,0.22970980405807495
triangle_splatting2,mp360,flowers,SSIM,0.5239582657814026,0.460822194814682,0.06313607096672058
triangle_splatting2,mp360,garden,SSIM,0.7790848612785339,0.7523797154426575,0.026705145835876465
triangle_splatting2,tnt,Ignatius,SSIM,0.6741818189620972,0.5562092661857605,0.11797255277633667
triangle_splatting2,mp360,kitchen,SSIM,0.8933998942375183,0.8965336680412292,-0.0031337738037109375
triangle_splatting2,tnt,Meetingroom,SSIM,0.8286563158035278,0.6623411774635315,0.16631513833999634
triangle_splatting2,mp360,room,SSIM,0.8774674534797668,0.7894479036331177,0.08801954984664917
triangle_splatting2,mp360,stump,SSIM,0.6881140470504761,0.6676397323608398,0.02047431468963623
triangle_splatting2,mp360,treehill,SSIM,0.5559841990470886,0.4529058039188385,0.10307839512825012
triangle_splatting2,tnt,Truck,SSIM,0.8102485537528992,0.6810189485549927,0.1292296051979065
2dgs,tnt,Barn,SSIM,0.8301020264625549,0.7020707726478577,0.12803125381469727
2dgs,mp360,bicycle,SSIM,0.7312305569648743,0.7010284662246704,0.030202090740203857
2dgs,mp360,bonsai,SSIM,0.9288836121559144,0.9004942178726196,0.02838939428329479
2dgs,tnt,Caterpillar,SSIM,0.7425041198730469,0.5941261649131775,0.14837795495986938
2dgs,mp360,counter,SSIM,0.8896432518959045,0.793993353843689,0.09564989805221558
2dgs,tnt,Courthouse,SSIM,0.782216489315033,0.5377995371818542,0.2444169521331787
2dgs,mp360,flowers,SSIM,0.5714056491851807,0.5034323334693909,0.0679733157157898
2dgs,mp360,garden,SSIM,0.8374446034431458,0.8209061622619629,0.01653844118118286
2dgs,tnt,Ignatius,SSIM,0.7570973038673401,0.6547954678535461,0.10230183601379395
2dgs,mp360,kitchen,SSIM,0.9137042164802552,0.9109987616539,0.0027054548263552025
2dgs,tnt,Meetingroom,SSIM,0.8611026406288147,0.6990165710449219,0.16208606958389282
2dgs,mp360,room,SSIM,0.904313325881958,0.8124203085899353,0.0918930172920227
2dgs,mp360,stump,SSIM,0.754364013671875,0.7352725863456726,0.019091427326202393
2dgs,mp360,treehill,SSIM,0.6160461902618408,0.5160725116729736,0.09997367858886719
2dgs,tnt,Truck,SSIM,0.8492380380630493,0.7409982681274414,0.10823976993560791
radegs,tnt,Barn,SSIM,0.8586588501930237,0.761897087097168,0.09676176309585571
radegs,mp360,bicycle,SSIM,0.7564547657966614,0.6856817603111267,0.07077300548553467
radegs,mp360,bonsai,SSIM,0.9597052335739136,0.94858717918396,0.011118054389953613
radegs,tnt,Caterpillar,SSIM,0.775037944316864,0.6551992297172546,0.11983871459960938
radegs,mp360,counter,SSIM,0.9279201626777648,0.8962944746017456,0.031625688076019176
radegs,tnt,Courthouse,SSIM,0.7528305649757385,0.4972516596317291,0.2555789053440094
radegs,mp360,flowers,SSIM,0.5941353440284729,0.4649169147014618,0.1292184293270111
radegs,mp360,garden,SSIM,0.8305084109306335,0.7871076464653015,0.04340076446533203
radegs,tnt,Ignatius,SSIM,0.7714223861694336,0.6790100932121277,0.09241229295730591
radegs,mp360,kitchen,SSIM,0.952440083026886,0.955524206161499,-0.003084123134613037
radegs,tnt,Meetingroom,SSIM,0.8744414448738098,0.7175467610359192,0.15689468383789062
radegs,mp360,room,SSIM,0.9465987086296082,0.9104470610618592,0.03615164756774891
radegs,mp360,stump,SSIM,0.7940281629562378,0.7514209747314453,0.04260718822479248
radegs,mp360,treehill,SSIM,0.6397693157196045,0.4772576689720154,0.1625116467475891
radegs,tnt,Truck,SSIM,0.8653638362884521,0.7631134986877441,0.10225033760070801
