Model,Dataset,Scene,file_name,Metric,Standard Value,Masked1 Value,Masked2 Value,Masked3 Value,Masked4 Value,Difference1,Difference2,Difference3,Difference4
3dgs,TnT,Meetingroom,3dgs_Meetingroom_000273.jpg.png,LPIPS,0.24909131228923798,0.1678842306137085,0.16775059700012207,0.14483755826950073,0.22733905911445618,-0.08120708167552948,-0.0813407152891159,-0.10425375401973724,-0.0217522531747818
3dgs,TnT,Meetingroom,3dgs_Meetingroom_000281.jpg.png,LPIPS,0.24289660155773163,0.17328044772148132,0.14767739176750183,0.12087155133485794,0.23725253343582153,-0.0696161538362503,-0.0952192097902298,-0.12202505022287369,-0.005644068121910095
3dgs,TnT,Meetingroom,3dgs_Meetingroom_000289.jpg.png,LPIPS,0.19484898447990417,0.1330491006374359,0.1012628972530365,0.06693585216999054,0.13803879916667938,-0.06179988384246826,-0.09358608722686768,-0.12791313230991364,-0.05681018531322479
3dgs,TnT,Meetingroom,3dgs_Meetingroom_000297.jpg.png,LPIPS,0.21431833505630493,0.14145775139331818,0.08498179912567139,0.0541229210793972,0.07177479565143585,-0.07286058366298676,-0.12933653593063354,-0.16019541397690773,-0.14254353940486908
3dgs,TnT,Meetingroom,3dgs_Meetingroom_000305.jpg.png,LPIPS,0.22897857427597046,0.1567656695842743,0.1537521481513977,0.14273983240127563,0.2235991656780243,-0.07221290469169617,-0.07522642612457275,-0.08623874187469482,-0.005379408597946167
3dgs,TnT,Meetingroom,3dgs_Meetingroom_000313.jpg.png,LPIPS,0.24302467703819275,0.203635573387146,0.27296388149261475,0.22275935113430023,0.31892135739326477,-0.03938910365104675,0.029939204454421997,-0.020265325903892517,0.07589668035507202
3dgs,TnT,Meetingroom,3dgs_Meetingroom_000321.jpg.png,LPIPS,0.28318342566490173,0.2081242799758911,0.17047494649887085,0.19671377539634705,0.2633194029331207,-0.07505914568901062,-0.11270847916603088,-0.08646965026855469,-0.019864022731781006
3dgs,TnT,Meetingroom,3dgs_Meetingroom_000329.jpg.png,LPIPS,0.20118547976016998,0.11927737295627594,0.12601768970489502,0.09625522047281265,0.10326889157295227,-0.08190810680389404,-0.07516779005527496,-0.10493025928735733,-0.09791658818721771
3dgs,TnT,Meetingroom,3dgs_Meetingroom_000337.jpg.png,LPIPS,0.2052851915359497,0.1464538425207138,0.1402895599603653,0.11430615931749344,0.2126321941614151,-0.0588313490152359,-0.06499563157558441,-0.09097903221845627,0.007347002625465393
3dgs,TnT,Meetingroom,3dgs_Meetingroom_000345.jpg.png,LPIPS,0.19962041079998016,0.1475977897644043,0.1547953486442566,0.15520629286766052,0.20719116926193237,-0.05202262103557587,-0.04482506215572357,-0.04441411793231964,0.0075707584619522095
