Model,Scene,LPIPS,Masked LPIPS,Masked PSNR,Masked SSIM,PSNR,SSIM
radfoam,bicycle,0.32993263006210327,0.31437304615974426,21.560405731201172,0.6458963751792908,24.223173141479492,0.6763536334037781
radfoam,bonsai,0.20221468806266785,0.10186202824115753,26.998525619506836,0.9131830334663391,32.17794418334961,0.9249391555786133
radfoam,Caterpillar,0.34579357504844666,0.40628716349601746,18.7603702545166,0.5698825120925903,21.845796585083008,0.7112069725990295
radfoam,counter,0.2194633036851883,0.1617181897163391,21.727596282958984,0.8070573210716248,28.53437042236328,0.8750388622283936
radfoam,Courthouse,0.302619069814682,0.3864952027797699,18.126419067382812,0.5891097187995911,21.65438461303711,0.7826491594314575
radfoam,flowers,0.3702847361564636,0.38617801666259766,18.994375228881836,0.5206430554389954,21.379777908325195,0.5719420909881592
radfoam,garden,0.1675262600183487,0.17684109508991241,24.148595809936523,0.7921350598335266,26.557952880859375,0.8102303147315979
radfoam,Ignatius,0.3398894965648651,0.366879940032959,18.28884506225586,0.5777124166488647,21.13548469543457,0.6950189471244812
radfoam,kitchen,0.1492169052362442,0.11621423810720444,28.466630935668945,0.9074828624725342,31.318775177001953,0.9067034125328064
radfoam,Meetingroom,0.2692367136478424,0.26829150319099426,18.381282806396484,0.7027861475944519,23.035938262939453,0.8272424936294556
radfoam,room,0.2244671732187271,0.20397360622882843,24.641586303710938,0.8179234266281128,30.56431770324707,0.8963006138801575
radfoam,stump,0.2918941378593445,0.27925044298171997,22.96468734741211,0.6948749423027039,25.40096664428711,0.7100713849067688
radfoam,treehill,0.3980720341205597,0.42135778069496155,19.13488006591797,0.4969772696495056,22.044883728027344,0.5935420989990234
radfoam,Truck,0.2772735059261322,0.3060455322265625,19.168437957763672,0.673946738243103,23.804733276367188,0.8133133053779602
radfoam,average,0.277345202366511,0.28089733570814135,21.498504002888996,0.6930887540181477,25.38135363260905,0.7744253516197205
triangle_splatting2,Barn,0.27856799960136414,0.2813214063644409,20.046600341796875,0.698515772819519,25.904287338256836,0.8163057565689087
triangle_splatting2,bicycle,0.35056620836257935,0.3439440131187439,20.654691696166992,0.6024156212806702,23.269990921020508,0.6479559540748596
triangle_splatting2,bonsai,0.25661030411720276,0.17748664319515228,24.654539108276367,0.8657447099685669,29.05521583557129,0.8959231972694397
triangle_splatting2,Caterpillar,0.3824763596057892,0.46059563755989075,18.041929244995117,0.5351909399032593,20.50898551940918,0.6828311085700989
triangle_splatting2,counter,0.23237036168575287,0.18097946047782898,20.184123992919922,0.7880207300186157,26.7314395904541,0.8738072514533997
triangle_splatting2,Courthouse,0.33264821767807007,0.4470134973526001,16.626434326171875,0.51849365234375,20.089876174926758,0.748203456401825
triangle_splatting2,flowers,0.38989704847335815,0.4209423363208771,17.53941535949707,0.460822194814682,19.72036361694336,0.5239582657814026
triangle_splatting2,garden,0.225471630692482,0.24567200243473053,22.867883682250977,0.7523797154426575,25.1151065826416,0.7790848612785339
triangle_splatting2,Ignatius,0.3688265085220337,0.38552001118659973,16.74546241760254,0.5562092661857605,19.371652603149414,0.6741818189620972
triangle_splatting2,kitchen,0.1751319020986557,0.13401560485363007,27.028554916381836,0.8965336680412292,28.004486083984375,0.8933998942375183
triangle_splatting2,Meetingroom,0.29801854491233826,0.28347575664520264,16.79584312438965,0.6623411774635315,22.873886108398438,0.8286563158035278
triangle_splatting2,room,0.2640874683856964,0.23409076035022736,23.11736297607422,0.7894479036331177,28.408565521240234,0.8774674534797668
triangle_splatting2,stump,0.3237404227256775,0.30067411065101624,22.31052589416504,0.6676397323608398,24.77086639404297,0.6881140470504761
triangle_splatting2,treehill,0.4170275032520294,0.44968488812446594,18.17334747314453,0.4529058039188385,21.027658462524414,0.5559841990470886
triangle_splatting2,Truck,0.2710776925086975,0.2828584909439087,17.954124450683594,0.6810189485549927,22.849258422851562,0.8102485537528992
triangle_splatting2,average,0.30443454484144844,0.30855164130528767,20.18272260030111,0.661845322450002,23.84677594502767,0.7530748089154561
2dgs,Barn,0.26992267370224,0.2729211449623108,20.542085647583008,0.7020707726478577,27.083925247192383,0.8301020264625549
2dgs,bicycle,0.2745908796787262,0.24755151569843292,22.149316787719727,0.7010284662246704,24.696504592895508,0.7312305569648743
2dgs,bonsai,0.22945962846279144,0.11581064015626907,25.85870933532715,0.9004942178726196,31.20986557006836,0.9288836121559143
