Model,Dataset,Scene,Metric,Standard Value,Masked1 Value,Masked2 Value,Masked3 Value,Masked4 Value,Difference1,Difference2,Difference3,Difference4
3dhgs,TnT,Caterpillar,SSIM,0.7835220694541931,0.8107908368110657,0.7578105926513672,0.6894895434379578,0.6588229537010193,-0.02726876735687256,0.025711476802825928,0.09403252601623535,0.12469911575317383
3dhgs,TnT,Caterpillar,PSNR,24.098533630371094,26.062240600585938,24.941619873046875,22.834184646606445,20.354724884033203,-1.9637069702148438,-0.8430862426757812,1.2643489837646484,3.7438087463378906
3dhgs,TnT,Caterpillar,LPIPS,0.2606222331523895,0.16989456117153168,0.18193940818309784,0.26325300335884094,0.2888275682926178,-0.09072767198085785,-0.07868282496929169,0.002630770206451416,0.02820533514022827
3dhgs,MP360,counter,SSIM,0.9115113019943237,0.9092861413955688,0.8918211460113525,0.8769097924232483,0.8405752778053284,0.002225160598754883,0.01969015598297119,0.03460150957107544,0.07093602418899536
3dhgs,MP360,counter,PSNR,29.646329879760742,31.533205032348633,29.45233917236328,26.600473403930664,21.856555938720703,-1.8868751525878906,0.19399070739746094,3.045856475830078,7.789773941040039
3dhgs,MP360,counter,LPIPS,0.19362738728523254,0.13480105996131897,0.1573319435119629,0.12763625383377075,0.12683004140853882,-0.058826327323913574,-0.03629544377326965,-0.06599113345146179,-0.06679734587669373
3dhgs,TnT,Courthouse,SSIM,0.8134769201278687,0.8187868595123291,0.7465596199035645,0.6466410756111145,0.6032716631889343,-0.005309939384460449,0.0669173002243042,0.16683584451675415,0.21020525693893433
3dhgs,TnT,Courthouse,PSNR,23.304885864257812,23.828420639038086,22.72949981689453,20.870798110961914,18.35955238342285,-0.5235347747802734,0.5753860473632812,2.4340877532958984,4.945333480834961
3dhgs,TnT,Courthouse,LPIPS,0.26331692934036255,0.24043959379196167,0.23919178545475006,0.33618465065956116,0.36214479804039,-0.02287733554840088,-0.024125143885612488,0.07286772131919861,0.09882786870002747
3dhgs,MP360,flowers,SSIM,0.6038232445716858,0.7231993079185486,0.6451901793479919,0.5803652405738831,0.5466824173927307,-0.11937606334686279,-0.04136693477630615,0.023458003997802734,0.05714082717895508
3dhgs,MP360,flowers,PSNR,21.56631851196289,28.142963409423828,25.868879318237305,22.804590225219727,19.1453800201416,-6.5766448974609375,-4.302560806274414,-1.238271713256836,2.420938491821289
3dhgs,MP360,flowers,LPIPS,0.33438804745674133,0.2142745554447174,0.21475458145141602,0.2223658561706543,0.37279215455055237,-0.12011349201202393,-0.11963346600532532,-0.11202219128608704,0.038404107093811035
3dhgs,MP360,garden,SSIM,0.86269211769104,0.8847712874412537,0.8664453029632568,0.8572706580162048,0.8477151393890381,-0.022079169750213623,-0.003753185272216797,0.005421459674835205,0.014976978302001953
3dhgs,MP360,garden,PSNR,27.43816375732422,31.1821231842041,29.709287643432617,27.369644165039062,25.179086685180664,-3.743959426879883,-2.2711238861083984,0.06851959228515625,2.2590770721435547
3dhgs,MP360,garden,LPIPS,0.1063205674290657,0.07820798456668854,0.09577596932649612,0.07039488106966019,0.111026830971241,-0.028112582862377167,-0.01054459810256958,-0.03592568635940552,0.004706263542175293
3dhgs,TnT,Ignatius,SSIM,0.7807641625404358,0.812753438949585,0.763288676738739,0.725492000579834,0.6864301562309265,-0.03198927640914917,0.017475485801696777,0.05527216196060181,0.09433400630950928
3dhgs,TnT,Ignatius,PSNR,22.61089515686035,24.502426147460938,23.541919708251953,21.817012786865234,19.721120834350586,-1.891530990600586,-0.9310245513916016,0.7938823699951172,2.8897743225097656
3dhgs,TnT,Ignatius,LPIPS,0.23216700553894043,0.1627229005098343,0.18252068758010864,0.2052772343158722,0.22396402060985565,-0.06944410502910614,-0.04964631795883179,-0.026889771223068237,-0.008202984929084778
3dhgs,MP360,kitchen,SSIM,0.9292719960212708,0.9338210821151733,0.9257765412330627,0.9251345992088318,0.9263103008270264,-0.004549086093902588,0.003495454788208008,0.004137396812438965,0.0029616951942443848
3dhgs,MP360,kitchen,PSNR,32.094993591308594,33.98581314086914,32.055931091308594,30.818408966064453,29.088720321655273,-1.8908195495605469,0.0390625,1.2765846252441406,3.0062732696533203
